;;;;;;;;;;;;;;;;;;
Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0000516-90.2019.5.05.0001;RIBEIRAO PRETO;SP;Bem Móvel (Aeronáutico);AVENIDA THOMAZ ALBERTO WHATELY, S/N, LOTES 14, 16, 20, JARDIM JOQUEI CLUBE, RIBEIRAO PRETO/SP, CEP 14078-550;R$ 316.344,00;40%;02/06/2026;17/09/2026;R$ 126.537,60;R$ 3.796,13;R$ 6.326,88;R$ 6.326,88;R$ 6.326,88;R$ 149.314,37;R$ 167.029,63;111,86%;75;AMARELO
0011626-92.2015.5.01.0048;Rio de Janeiro;RJ;Apartamento;RUA AJURATUBA Nº 121, BLOCO “B”, TODOS OS SANTOS, RIO DE JANEIRO-RJ;R$ 300.000,00;60%;13/05/2026;15/05/2026;R$ 180.000,00;R$ 5.400,00;R$ 9.000,00;R$ 9.000,00;R$ 9.000,00;R$ 212.400,00;R$ 87.600,00;41,24%;60;AMARELO
0038403-20.2018.8.13.0309;Ipanema;MG;Terreno rural;Fração ideal de 25% sobre terreno rural com área total de 54,5500 hectares, localizado no Córrego da Pedra, zona rural do município de Ipanema/MG;R$ 298.350,82;50%;04/05/2026;25/05/2026;R$ 149.175,41;R$ 4.475,26;R$ 7.458,77;R$ 7.458,77;R$ 7.458,77;R$ 176.026,98;R$ 122.323,84;69,49%;20;VERMELHO
0001675-14.2023.8.26.0609;Taboão da Serra;SP;Apartamento;Avenida Paulo Ayres, nº 75, Bloco 29, apto 26, Condomínio Serra Verde, Parque Pinheiros, Taboão da Serra/SP, CEP 06767-220;R$ 288.988,72;50%;25/03/2026;17/04/2026;R$ 144.494,36;R$ 4.334,83;R$ 7.224,72;R$ 7.224,72;R$ 7.224,72;R$ 170.503,34;R$ 118.485,38;69,49%;25;VERMELHO
0000097-29.2020.5.12.0005;Navegantes;SC;Apartamento;Rua Geraldo José Borba, 192 - Meia Praia, Navegantes - SC, 88372-205;R$ 280.000,00;50%;07/05/2026;12/05/2026;R$ 140.000,00;R$ 4.200,00;R$ 7.000,00;R$ 7.000,00;R$ 7.000,00;R$ 165.200,00;R$ 114.800,00;69,49%;90;VERDE
0000518-39.2024.5.17.0005;Serra;ES;Bens Móveis;Av. Central, 975, Laranjeiras;R$ 259.133,00;50%;02/06/2026;22/06/2026;R$ 129.566,50;R$ 3.887,00;R$ 6.478,33;R$ 6.478,33;R$ 6.478,33;R$ 152.888,47;R$ 106.244,53;69,49%;80;VERDE
5135549-26.2016.8.13.0024;BELO HORIZONTE;MG;Edifício Residencial;Rua Onze de Setembro, 300, Alpes, Belo Horizonte - MG;R$ 257.200,00;50%;16/03/2026;13/04/2026;R$ 128.600,00;R$ 3.858,00;R$ 6.430,00;R$ 6.430,00;R$ 6.430,00;R$ 151.748,00;R$ 105.452,00;69,49%;45;VERMELHO
0008231-75.2010.8.16.0056;Cambé;PR;Terreno;Data de terras nº 10, Quadra 05, Loteamento Golden Park II, com frente para a Rua 6, Cambé/PR;R$ 250.914,41;60%;17/03/2026;05/05/2026;R$ 150.548,65;R$ 4.516,46;R$ 7.527,43;R$ 7.527,43;R$ 7.527,43;R$ 177.647,40;R$ 73.267,01;41,24%;80;VERDE
0100510-35.2017.5.01.0531;Teresópolis;RJ;Veículo (Caminhão);Estrada Doutor Rogério de Moura Estevão, km 30, Mottas - Bonsucesso, Teresópolis/RJ;R$ 250.000,00;50%;27/04/2026;29/04/2026;R$ 125.000,00;R$ 3.750,00;R$ 6.250,00;R$ 6.250,00;R$ 6.250,00;R$ 147.500,00;R$ 102.500,00;69,49%;60;AMARELO
1500365-30.2022.8.26.0318;Leme;SP;Veículo;Avenida Carlos Bonfanti, 493, Centro, Leme, SP, 13.610-238;R$ 250.000,00;60%;06/04/2026;29/04/2026;R$ 150.000,00;R$ 4.500,00;R$ 7.500,00;R$ 7.500,00;R$ 7.500,00;R$ 177.000,00;R$ 73.000,00;41,24%;50;VERMELHO
