Processo;Cidade;Estado;Tipo;Metragem;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
1000835-46.2016.5.02.0028;São Paulo;SP;Apartamento;25,58 m²;Rua Brigadeiro Tobias, 600 - Apto 402 - Centro - São Paulo/SP;R$ 180.000,00;40%;16/07/2026;16/07/2026;R$ 72.000,00;R$ 2.160,00;R$ 3.600,00;R$ 3.600,00;R$ 3.600,00;R$ 84.960,00;9504000,00%;65;AMARELO;
1000041-02.2021.5.02.0076;São Vicente;SP;Apartamento;41,66 m²;Praça Vinte e Dois de Janeiro, nº 553, apartamento nº 77, Centro, São Vicente/SP;R$ 180.000,00;40%;16/07/2026;16/07/2026;R$ 72.000,00;R$ 2.160,00;R$ 3.600,00;R$ 3.600,00;R$ 3.600,00;R$ 84.960,00;9504000,00%;55;VERMELHO;
1505351-32.2019.8.26.0318;Leme;SP;Lote de terreno com casas;0,00 m²;"Rua ""E"", lote nº 91 da Quadra ""D"", Jardim Imperial II, Leme/SP";R$ 180.000,00;60%;04/05/2026;27/05/2026;R$ 108.000,00;R$ 3.240,00;R$ 5.400,00;R$ 5.400,00;R$ 5.400,00;R$ 127.440,00;5256000,00%;55;VERMELHO;
1036538-14.2020.8.26.0114;Campinas;SP;Apartamento;43,50 m²;Rua Rodrigo Medeiros, n° 121, Apartamento e bloco n° 14, Jardim Monte Alto, Campinas/SP;R$ 175.034,30;50%;01/06/2026;26/06/2026;R$ 87.517,15;R$ 2.625,51;R$ 4.375,86;R$ 4.375,86;R$ 4.375,86;R$ 103.270,24;7176406,30%;10;VERMELHO;
0056070-37.2024.8.16.0014;Londrina;PR;Apartamento;45,22 m²;Rua Alberto Jans, n° 369, Apartamento nº 303, Bloco 10, do Condomínio Floratta Condomínio Clube, Heimtal, Londrina/PR – CEP: 86084-140;R$ 172.591,23;90%;29/05/2026;23/06/2026;R$ 154.589,96;R$ 4.637,70;R$ 7.729,50;R$ 7.729,50;R$ 7.729,50;R$ 182.416,16;-982492,84%;85;VERDE;
0226000-58.2004.5.02.0058;Igarapava;SP;Casa com Terreno;179,04 m²;Rua Abílio de Paula Soares, nº 268, Vila Gomes, Igarapava/SP;R$ 170.000,00;50%;16/07/2026;16/07/2026;R$ 85.000,00;R$ 2.550,00;R$ 4.250,00;R$ 4.250,00;R$ 4.250,00;R$ 100.300,00;6970000,00%;10;VERMELHO;
0065400-71.1997.5.02.0070;Barra Bonita;SP;Casa;89,77 m²;Rua João Martini, nº 269, Barra Bonita;R$ 170.000,00;100%;16/07/2026;16/07/2026;R$ 170.000,00;R$ 5.100,00;R$ 8.500,00;R$ 8.500,00;R$ 8.500,00;R$ 200.600,00;-3060000,00%;60;AMARELO;
0100468-23.2020.5.01.0323;Duque de Caxias;RJ;Veículo;0,00 m²;AVENIDA PERIMETRAL DOUTOR MANOEL REIS, 175, LOJA A VILA MERITI - DUQUE DE CAXIAS - RJ - CEP: 25025-010;R$ 169.558,18;100%;05/05/2026;12/05/2026;R$ 169.558,18;R$ 5.086,75;R$ 8.477,91;R$ 8.477,91;R$ 8.477,91;R$ 200.078,65;-3052047,24%;20;VERMELHO;
0100468-23.2020.5.01.0323;Duque de Caxias;RJ;Veículo;0,00 m²;AVENIDA PERIMETRAL DOUTOR MANOEL REIS, 175, LOJA A VILA MERITI - DUQUE DE CAXIAS - RJ - CEP: 25025-010;R$ 169.558,18;50%;05/05/2026;12/05/2026;R$ 84.779,09;R$ 2.543,37;R$ 4.238,95;R$ 4.238,95;R$ 4.238,95;R$ 100.039,33;6951885,38%;25;VERMELHO;
0100468-23.2020.5.01.0323;Duque de Caxias;RJ;Veículo;0,00 m²;Avenida Perimetral Doutor Manoel Reis, 175, Loja A, Vila Meriti;R$ 169.558,18;50%;05/05/2026;12/05/2026;R$ 84.779,09;R$ 2.543,37;R$ 4.238,95;R$ 4.238,95;R$ 4.238,95;R$ 100.039,33;6951885,38%;50;VERMELHO;
0100444-17.2023.5.01.0411;Belford Roxo;RJ;Veículos;0,00 m²;RUA DONA ANA, N° 10, SÃO JORGE, BELFORD ROXO/RJ, CEP 26195-000;R$ 166.200,00;50%;08/06/2026;16/06/2026;R$ 83.100,00;R$ 2.493,00;R$ 4.155,00;R$ 4.155,00;R$ 4.155,00;R$ 98.058,00;6814200,00%;90;VERDE;
0100444-17.2023.5.01.0411;Belford Roxo;RJ;Veículos;0,00 m²;RUA DONA ANA, N° 10, SÃO JORGE, BELFORD ROXO/RJ, CEP 26195-000;R$ 166.200,00;50%;08/06/2026;16/06/2026;R$ 83.100,00;R$ 2.493,00;R$ 4.155,00;R$ 4.155,00;R$ 4.155,00;R$ 98.058,00;6814200,00%;90;VERDE;
5000399-79.2026.8.13.0620;Cordilândia;MG;Terreno;434,00 m²;Travessa Benedito Paulino, Cordilândia/MG;R$ 164.815,79;60%;27/04/2026;23/11/2026;R$ 98.889,47;R$ 2.966,68;R$ 4.944,47;R$ 4.944,47;R$ 4.944,47;R$ 116.689,58;4812621,07%;70;AMARELO;
0045800-02.2009.5.05.0251;Retirolândia;BA;Casa;96,00 m²;Beco Projetado nº 16, s/nº, Centro, Retirolândia/BA;R$ 164.400,00;50%;07/07/2026;20/10/2026;R$ 82.200,00;R$ 2.466,00;R$ 4.110,00;R$ 4.110,00;R$ 4.110,00;R$ 96.996,00;6740400,00%;25;VERMELHO;
5058387-47.2019.8.13.0024;BELO HORIZONTE;MG;Apartamento;39,00 m²;rua Palmira, nº 967, apt. 99, Serra, Belo Horizonte;R$ 160.000,00;50%;17/04/2026;28/05/2026;R$ 80.000,00;R$ 2.400,00;R$ 4.000,00;R$ 4.000,00;R$ 4.000,00;R$ 94.400,00;6560000,00%;55;VERMELHO;
5003164-35.2022.8.13.0241;Esmeraldas;MG;Apartamento;50,55 m²;Rua I, n° 30, Apartamento 06, Bloco 05, 1º Pavimento, Condomínio Residencial Gênova, Bairro Nova Esmeraldas;R$ 160.000,00;50%;14/04/2026;27/05/2026;R$ 80.000,00;R$ 2.400,00;R$ 4.000,00;R$ 4.000,00;R$ 4.000,00;R$ 94.400,00;6560000,00%;45;VERMELHO;
5058387-47.2019.8.13.0024;Belo Horizonte;MG;Apartamento;39,00 m²;Rua Palmira, nº 967, apt. 99, Serra;R$ 160.000,00;50%;14/04/2026;28/05/2026;R$ 80.000,00;R$ 2.400,00;R$ 4.000,00;R$ 4.000,00;R$ 4.000,00;R$ 94.400,00;6560000,00%;70;AMARELO;
1000174-23.2025.5.02.0070;São Paulo;SP;Mercadoria;0,00 m²;Rua Dr. Paulo Leite de Oliveira, nº 260, Jardim Raposo Tavares;R$ 156.000,00;30%;16/07/2026;16/07/2026;R$ 46.800,00;R$ 1.404,00;R$ 2.340,00;R$ 2.340,00;R$ 2.340,00;R$ 55.224,00;10077600,00%;50;VERMELHO;
0817697-28.2017.8.15.2001;João Pessoa;PB;Apartamento;56,72 m²;Rua Ana Alves Chaves, n.º 55, bairro Paratibe;R$ 150.000,00;50%;30/06/2026;30/06/2026;R$ 75.000,00;R$ 2.250,00;R$ 3.750,00;R$ 3.750,00;R$ 3.750,00;R$ 88.500,00;6150000,00%;80;VERDE;
0817697-28.2017.8.15.2001;João Pessoa;PB;Apartamento;56,72 m²;Rua Ana Alves Chaves, n.º 55, bairro Paratibe, João Pessoa/PB - CEP: 58062-132;R$ 150.000,00;50%;30/06/2026;30/06/2026;R$ 75.000,00;R$ 2.250,00;R$ 3.750,00;R$ 3.750,00;R$ 3.750,00;R$ 88.500,00;6150000,00%;40;VERMELHO;
5007265-12.2025.8.13.0112;Campo Belo;MG;Lote de terreno;310,00 m²;Lote de terreno de nº 343, da quadra V, bairro Jardim Alvorada, Campo Belo/MG;R$ 150.000,00;80%;16/04/2026;28/05/2026;R$ 120.000,00;R$ 3.600,00;R$ 6.000,00;R$ 6.000,00;R$ 6.000,00;R$ 141.600,00;840000,00%;70;AMARELO;
5016222-78.2017.8.13.0145;Juiz de Fora;MG;Loja;0,00 m²;Loja 406, Edifício Moda Shopping, Avenida Getúlio Vargas, nº 828, Centro, Juiz de Fora - MG;R$ 150.000,00;60%;16/04/2026;25/06/2026;R$ 90.000,00;R$ 2.700,00;R$ 4.500,00;R$ 4.500,00;R$ 4.500,00;R$ 106.200,00;4380000,00%;50;VERMELHO;
0064442-14.2020.8.16.0014;Londrina;PR;Terreno;390,00 m²;Avenida Juvenal Pietraroia s/nº (+- n. 785), Bairro Jardim Columbia C, Londrina/PR;R$ 150.000,00;50%;04/05/2026;18/05/2026;R$ 75.000,00;R$ 2.250,00;R$ 3.750,00;R$ 3.750,00;R$ 3.750,00;R$ 88.500,00;6150000,00%;65;AMARELO;
0001002-31.2025.8.16.0091;Icaraíma;PR;Veículo;0,00 m²;N/D;R$ 150.000,00;80%;13/04/2026;14/04/2026;R$ 120.000,00;R$ 3.600,00;R$ 6.000,00;R$ 6.000,00;R$ 6.000,00;R$ 141.600,00;840000,00%;30;VERMELHO;
0000173-62.2021.5.23.0021;Rondonópolis;MT;Veículo;0,00 m²;BR 364, S/N, INDUSTRIAL VETORASSO, RONDONÓPOLIS/MT;R$ 148.000,00;70%;18/05/2026;11/06/2026;R$ 103.600,00;R$ 3.108,00;R$ 5.180,00;R$ 5.180,00;R$ 5.180,00;R$ 122.248,00;2575200,00%;95;VERDE;
5000698-93.2020.8.13.0611;São Francisco;MG;Veículos;0,00 m²;Rua Radialista Hamilton Macedo, nº 53, Bairro Manoel Ribeiro, município de Caratinga/MG;R$ 147.509,00;70%;08/05/2026;08/05/2026;R$ 103.256,30;R$ 3.097,69;R$ 5.162,82;R$ 5.162,82;R$ 5.162,82;R$ 121.842,43;2566656,60%;75;AMARELO;
1000108-58.2019.8.26.0030;Apiaí;SP;Bens Móveis;0,00 m²;Rua Córrego Frias, 600, zona rural;R$ 144.000,00;60%;04/05/2026;29/05/2026;R$ 86.400,00;R$ 2.592,00;R$ 4.320,00;R$ 4.320,00;R$ 4.320,00;R$ 101.952,00;4204800,00%;88;VERDE;
0800260-12.2018.8.15.1201;Araçagi;PB;Terreno;600,00 m²;Lotes de terreno ns. 27, 28 e 29 da Quadra M, Loteamento Novo Araçagi, Araçagi/PB;R$ 135.000,00;50%;10/06/2026;10/06/2026;R$ 67.500,00;R$ 2.025,00;R$ 3.375,00;R$ 3.375,00;R$ 3.375,00;R$ 79.650,00;5535000,00%;83;VERDE;
0800260-12.2018.8.15.1201;Araçagi;PB;Terreno;600,00 m²;Lotes de terreno próprios de n. 27, 28 e 29 da Quadra M, encravados no Loteamento Novo Araçagi, situado no perímetro de expansão urbana da cidade de Araçagi, Estado da Paraíba;R$ 135.000,00;50%;10/06/2026;10/06/2026;R$ 67.500,00;R$ 2.025,00;R$ 3.375,00;R$ 3.375,00;R$ 3.375,00;R$ 79.650,00;5535000,00%;90;VERDE;
0800260-12.2018.8.15.1201;Araçagi;PB;Terreno;200,00 m²;Lote de terreno n. 27 da Quadra M, Loteamento Novo Araçagi, perímetro de expansão urbana, Araçagi, Paraíba;R$ 135.000,00;50%;10/06/2026;10/06/2026;R$ 67.500,00;R$ 2.025,00;R$ 3.375,00;R$ 3.375,00;R$ 3.375,00;R$ 79.650,00;5535000,00%;80;VERDE;
0800260-12.2018.8.15.1201;Araçagi;PB;Lotes de terreno;600,00 m²;Lotes de terreno próprios de n. 27, 28 e 29 da Quadra M, encravados no Loteamento Novo Araçagi, situado no perímetro de expansão urbana da cidade de Araçagi, Estado da Paraíba;R$ 135.000,00;50%;10/06/2026;10/06/2026;R$ 67.500,00;R$ 2.025,00;R$ 3.375,00;R$ 3.375,00;R$ 3.375,00;R$ 79.650,00;5535000,00%;90;VERDE;
5003242-27.2018.8.13.0481;Patrocínio;MG;Imóvel Rural;1,50 m²;Fazenda Boa Vista, município de Patrocínio/MG;R$ 135.000,00;70%;27/04/2026;23/11/2026;R$ 94.500,00;R$ 2.835,00;R$ 4.725,00;R$ 4.725,00;R$ 4.725,00;R$ 111.510,00;2349000,00%;40;VERMELHO;
0007291-42.2013.8.16.0077;Cruzeiro do Oeste;PR;Terreno com benfeitorias;260,00 m²;Rua Acre, nº 1370, Jardim Cruzeiro;R$ 132.000,00;60%;20/05/2026;27/05/2026;R$ 79.200,00;R$ 2.376,00;R$ 3.960,00;R$ 3.960,00;R$ 3.960,00;R$ 93.456,00;3854400,00%;75;AMARELO;
0003158-88.2021.8.16.0072;Colorado;PR;Casa;60,00 m²;Rua Goiás, nº 170, centro, na cidade de Colorado/PR;R$ 127.411,17;51%;14/05/2026;25/05/2026;R$ 64.979,70;R$ 1.949,39;R$ 3.248,98;R$ 3.248,98;R$ 3.248,98;R$ 76.676,04;5073512,79%;80;VERDE;
5000817-39.2025.8.13.0430;Monte Belo;MG;N/D;0,00 m²;Avenida Jorge Vieira, 84, Paranazinho, Monte Belo/MG;R$ 125.113,00;50%;06/05/2026;29/07/2026;R$ 62.556,50;R$ 1.876,70;R$ 3.127,83;R$ 3.127,83;R$ 3.127,83;R$ 73.816,67;5129633,00%;32;VERMELHO;
0048367-60.2021.8.16.0014;Londrina;PR;Terreno;250,00 m²;rua João Tavares de Azevedo s/nº (+- n. 130), Bairro Jardim Tenerife;R$ 120.000,00;50%;04/05/2026;18/05/2026;R$ 60.000,00;R$ 1.800,00;R$ 3.000,00;R$ 3.000,00;R$ 3.000,00;R$ 70.800,00;4920000,00%;65;AMARELO;
0012205-38.1999.8.16.0014;Campo Grande;MS;Terreno;390,00 m²;Rua Oitenta e Dois, nº 104, Nova Campo Grande;R$ 119.825,94;50%;12/04/2026;06/05/2026;R$ 59.912,97;R$ 1.797,39;R$ 2.995,65;R$ 2.995,65;R$ 2.995,65;R$ 70.697,30;4912863,54%;45;VERMELHO;
0827423-53.2015.8.20.5106;Mossoró;RN;Máquinas;0,00 m²;N/D;R$ 118.710,00;50%;26/05/2026;26/05/2026;R$ 59.355,00;R$ 1.780,65;R$ 2.967,75;R$ 2.967,75;R$ 2.967,75;R$ 70.038,90;4867110,00%;45;VERMELHO;
1000918-62.2021.5.02.0715;Guarujá;SP;Apartamento;167,76 m²;Rua Peru, 209 - Apto 12 - Edifício Iande - Enseada - Guarujá/SP;R$ 115.000,00;50%;04/08/2026;04/08/2026;R$ 57.500,00;R$ 1.725,00;R$ 2.875,00;R$ 2.875,00;R$ 2.875,00;R$ 67.850,00;4715000,00%;30;VERMELHO;
1001154-72.2023.5.02.0382;Osasco;SP;Veículo;0,00 m²;Rua Ester Rombenso, nº 361, Centro;R$ 115.000,00;70%;04/08/2026;04/08/2026;R$ 80.500,00;R$ 2.415,00;R$ 4.025,00;R$ 4.025,00;R$ 4.025,00;R$ 94.990,00;2001000,00%;70;AMARELO;
0000583-57.2018.5.08.0114;Parauapebas;PA;Veículo;0,00 m²;N/D;R$ 114.000,00;50%;27/04/2026;27/04/2026;R$ 57.000,00;R$ 1.710,00;R$ 2.850,00;R$ 2.850,00;R$ 2.850,00;R$ 67.260,00;4674000,00%;85;VERDE;
0095900-20.2009.5.03.0023;Belo Horizonte;MG;Armas de fogo;0,00 m²;Avenida Raja Gabaglia, 1597, Luxemburgo, Belo Horizonte/MG;R$ 113.000,00;50%;10/06/2026;05/08/2026;R$ 56.500,00;R$ 1.695,00;R$ 2.825,00;R$ 2.825,00;R$ 2.825,00;R$ 66.670,00;4633000,00%;35;VERMELHO;
0701537-45.2024.8.07.0012;São Sebastião;DF;Apartamento;47,75 m²;Apartamento nº 202, situado no 2º Pavimento, do Bloco M, Crixá, Condomínio IV, edificado no Lote nº 01, da Rua 02, do Bairro Crixá, São Sebastião, Brasília/DF;R$ 110.000,00;50%;04/05/2026;07/05/2026;R$ 55.000,00;R$ 1.650,00;R$ 2.750,00;R$ 2.750,00;R$ 2.750,00;R$ 64.900,00;4510000,00%;75;AMARELO;
0070239-34.2021.8.16.0014;Londrina;PR;Casa;60,50 m²;Rua Angelo Pugglia, 126, Conjunto Habitacional Maria Cecilia S Oliveira;R$ 110.000,00;50%;04/05/2026;18/05/2026;R$ 55.000,00;R$ 1.650,00;R$ 2.750,00;R$ 2.750,00;R$ 2.750,00;R$ 64.900,00;4510000,00%;60;AMARELO;
0000493-60.2025.5.22.0002;Teresina;PI;Veículo;0,00 m²;N/D;R$ 108.000,00;50%;21/08/2026;21/08/2026;R$ 54.000,00;R$ 1.620,00;R$ 2.700,00;R$ 2.700,00;R$ 2.700,00;R$ 63.720,00;4428000,00%;50;VERMELHO;
1001205-02.2024.5.02.0042;São Paulo;SP;Veículo;0,00 m²;Rua Ibitinga, nº 667, Vila Bertioga, São Paulo/SP;R$ 105.000,00;30%;16/07/2026;16/07/2026;R$ 31.500,00;R$ 945,00;R$ 1.575,00;R$ 1.575,00;R$ 1.575,00;R$ 37.170,00;6783000,00%;73;AMARELO;
0000792-17.2011.5.02.0024;São Paulo;SP;Equipamentos Odontológicos;0,00 m²;Avenida Interlagos, 1329, Jardim Umuarama, São Paulo/SP;R$ 102.000,00;60%;04/08/2026;04/08/2026;R$ 61.200,00;R$ 1.836,00;R$ 3.060,00;R$ 3.060,00;R$ 3.060,00;R$ 72.216,00;2978400,00%;85;VERDE;
5000389-39.2020.8.13.0137;Carlos Chagas;MG;Semoventes;0,00 m²;Fazenda Paraíso do Recanto;R$ 102.000,00;50%;11/06/2026;27/08/2026;R$ 51.000,00;R$ 1.530,00;R$ 2.550,00;R$ 2.550,00;R$ 2.550,00;R$ 60.180,00;4182000,00%;55;VERMELHO;
1001072-93.2024.5.02.0321;Assis;SP;Terreno;285,00 m²;Rua Lucas Menk, s/nº, Lote 003, Quadra 247, Setor 3, Vila Nova Florínea, Assis/SP;R$ 100.000,00;80%;16/07/2026;16/07/2026;R$ 80.000,00;R$ 2.400,00;R$ 4.000,00;R$ 4.000,00;R$ 4.000,00;R$ 94.400,00;560000,00%;70;AMARELO;
0702905-26.2023.8.07.0012;São Sebastião;DF;Apartamento;47,75 m²;Av. Morro Da Cruz, Quadra 1, Lote 1, Bloco F, Apto 204, Crixá 01, Crixá, São Sebastião/DF, CEP 71695-060;R$ 100.000,00;80%;06/05/2026;08/05/2026;R$ 80.000,00;R$ 2.400,00;R$ 4.000,00;R$ 4.000,00;R$ 4.000,00;R$ 94.400,00;560000,00%;55;VERMELHO;
0000941-10.2015.5.02.0012;Santa Clara D'Oeste;SP;Casa;0,00 m²;Rua Antenor Benedito, nº 539, Centro, Santa Clara D'Oeste/SP;R$ 100.000,00;80%;16/07/2026;16/07/2026;R$ 80.000,00;R$ 2.400,00;R$ 4.000,00;R$ 4.000,00;R$ 4.000,00;R$ 94.400,00;560000,00%;80;VERDE;
0101986-15.2016.5.01.0056;Baldim;MG;Lotes de Terreno;1.800,00 m²;Lotes ns. 02, 03, 04, 05 e 06, quadra 50-B, Bairro Santa Luzia, Baldim/MG, CEP: 35732-000;R$ 100.000,00;50%;05/05/2026;12/05/2026;R$ 50.000,00;R$ 1.500,00;R$ 2.500,00;R$ 2.500,00;R$ 2.500,00;R$ 59.000,00;4100000,00%;15;VERMELHO;
0729555-11.2021.8.07.0003;Ceilândia;DF;Terreno;505,16 m²;Quadra 03, Lote 10, do Condomínio Residencial Monte Verde, localizado na BR 070, quilômetro 18, Gleba 4, em Ceilândia/DF;R$ 100.000,00;50%;06/05/2026;08/05/2026;R$ 50.000,00;R$ 1.500,00;R$ 2.500,00;R$ 2.500,00;R$ 2.500,00;R$ 59.000,00;4100000,00%;20;VERMELHO;
0101360-53.2025.5.01.0032;Rio de Janeiro;RJ;Veículo;0,00 m²;N/D;R$ 99.000,00;50%;25/05/2026;26/05/2026;R$ 49.500,00;R$ 1.485,00;R$ 2.475,00;R$ 2.475,00;R$ 2.475,00;R$ 58.410,00;4059000,00%;45;VERMELHO;
0054300-88.2009.5.02.0203;São Paulo;SP;Vaga de Garagem Dupla;28,60 m²;Rua Pascal, nº 329, Vaga Dupla números 19 e 20, Ibirapuera, São Paulo/SP;R$ 98.333,33;40%;16/07/2026;16/07/2026;R$ 39.333,33;R$ 1.180,00;R$ 1.966,67;R$ 1.966,67;R$ 1.966,67;R$ 46.413,33;5191999,82%;10;VERMELHO;
0054300-88.2009.5.02.0203;São Paulo;SP;Vaga de Garagem Dupla;28,60 m²;Rua Pascal, nº 329, Vaga Dupla números 19 e 20, Ibirapuera;R$ 98.333,33;40%;16/07/2026;16/07/2026;R$ 39.333,33;R$ 1.180,00;R$ 1.966,67;R$ 1.966,67;R$ 1.966,67;R$ 46.413,33;5191999,82%;10;VERMELHO;
1507827-07.2021.8.26.0566;São Carlos;SP;Terreno;125,00 m²;Rua Dezoito, Lote 753B, Quadra 25, Loteamento Cidade Aracy;R$ 95.000,00;60%;09/06/2026;03/07/2026;R$ 57.000,00;R$ 1.710,00;R$ 2.850,00;R$ 2.850,00;R$ 2.850,00;R$ 67.260,00;2774000,00%;75;AMARELO;
0006873-21.2019.8.16.0069;Cianorte;PR;Casa;70,52 m²;Rua Asa Branca, n° 81, Jardim Asa Branca I - Cianorte/PR;R$ 95.000,00;50%;22/04/2026;28/04/2026;R$ 47.500,00;R$ 1.425,00;R$ 2.375,00;R$ 2.375,00;R$ 2.375,00;R$ 56.050,00;3895000,00%;90;VERDE;
0000210-03.2020.5.06.0311;TORITAMA;PE;Máquina/Equipamento;0,00 m²;Rua Joaquim Tabosa, 199, Centro, Lavanderia Lavato;R$ 94.000,00;50%;15/04/2026;15/09/2026;R$ 47.000,00;R$ 1.410,00;R$ 2.350,00;R$ 2.350,00;R$ 2.350,00;R$ 55.460,00;3854000,00%;100;VERDE;
0011078-83.2024.5.18.0014;Goiânia;GO;Equipamentos;0,00 m²;Avenida Perimetral, nº 1678, Qd. 37, Lt.68, Setor Coimbra, Goiânia;R$ 93.500,00;50%;15/05/2026;29/05/2026;R$ 46.750,00;R$ 1.402,50;R$ 2.337,50;R$ 2.337,50;R$ 2.337,50;R$ 55.165,00;3833500,00%;90;VERDE;
0135000-16.2009.5.02.0053;São Paulo;SP;Mobiliário;0,00 m²;Avenida Santos Dumont, nº 843, Luz, São Paulo/SP;R$ 91.000,00;50%;16/07/2026;16/07/2026;R$ 45.500,00;R$ 1.365,00;R$ 2.275,00;R$ 2.275,00;R$ 2.275,00;R$ 53.690,00;3731000,00%;90;VERDE;
0002981-86.2017.8.16.0033;Curitiba;PR;Marca/Registro;0,00 m²;N/D;R$ 90.000,00;50%;08/05/2026;22/05/2026;R$ 45.000,00;R$ 1.350,00;R$ 2.250,00;R$ 2.250,00;R$ 2.250,00;R$ 53.100,00;3690000,00%;90;VERDE;
0047262-14.2022.8.16.0014;Londrina;PR;Terreno;280,00 m²;Data de Terras nº 05, Quadra 04, Lote 304/1, Jardim Palmas, Londrina/PR;R$ 90.000,00;50%;04/05/2026;18/05/2026;R$ 45.000,00;R$ 1.350,00;R$ 2.250,00;R$ 2.250,00;R$ 2.250,00;R$ 53.100,00;3690000,00%;70;AMARELO;
1503756-91.2018.8.26.0363;Mogi Mirim;SP;Veículo;0,00 m²;Rua Antônio Brandao, 344, Jardim Bi‑centenario, CEP 13807-480, Mogi Mirim - SP;R$ 86.231,00;60%;02/03/2026;26/03/2025;R$ 51.738,60;R$ 1.552,16;R$ 2.586,93;R$ 2.586,93;R$ 2.586,93;R$ 61.051,55;2517945,20%;40;VERMELHO;
1503756-91.2018.8.26.0363;Mogi Mirim;SP;Veículo;0,00 m²;Rua Antônio Brandao, 344, Jardim Bi-centenario, CEP 13807-480, Mogi Mirim - SP;R$ 86.231,00;60%;30/03/2026;24/04/2025;R$ 51.738,60;R$ 1.552,16;R$ 2.586,93;R$ 2.586,93;R$ 2.586,93;R$ 61.051,55;2517945,20%;75;AMARELO;
1503756-91.2018.8.26.0363;Mogi Mirim;SP;Veículo;0,00 m²;Rua Antônio Brandao, 344, Jardim Bi‑centenario, CEP 13807-480, Mogi Mirim - SP;R$ 86.231,00;60%;29/05/2026;26/06/2025;R$ 51.738,60;R$ 1.552,16;R$ 2.586,93;R$ 2.586,93;R$ 2.586,93;R$ 61.051,55;2517945,20%;75;AMARELO;
1500398-91.2018.8.26.0566;São Carlos;SP;Casa;42,56 m²;RUA 06 (atual Rua Ver. Antonio Silva), nº 357;R$ 84.563,78;75%;06/07/2026;29/07/2026;R$ 63.422,84;R$ 1.902,69;R$ 3.171,14;R$ 3.171,14;R$ 3.171,14;R$ 74.838,95;972483,47%;55;VERMELHO;
1000073-89.2024.5.02.0241;Vargem Grande Paulista;SP;Veículo;0,00 m²;Rua José Manoel de Almeida, nº 1337, Jardim Europa, Vargem Grande Paulista/SP;R$ 84.126,00;30%;04/08/2026;04/08/2026;R$ 25.237,80;R$ 757,13;R$ 1.261,89;R$ 1.261,89;R$ 1.261,89;R$ 29.780,60;5434539,60%;25;VERMELHO;
0010755-30.2020.5.03.0081;Guaxupé;MG;Veículos;0,00 m²;Praça dos Expedicionários, 12, Centro, Guaxupé/MG;R$ 83.200,00;50%;06/05/2026;29/07/2026;R$ 41.600,00;R$ 1.248,00;R$ 2.080,00;R$ 2.080,00;R$ 2.080,00;R$ 49.088,00;3411200,00%;65;AMARELO;
0000511-30.2023.5.08.0103;Altamira;PA;Terreno;0,00 m²;Lote 07, Quadra 18-A e Lote 10, Quadra 20-A, Loteamento Terras de Bonanza, Altamira/PA;R$ 83.035,45;50%;06/05/2026;06/05/2026;R$ 41.517,73;R$ 1.245,53;R$ 2.075,89;R$ 2.075,89;R$ 2.075,89;R$ 48.990,92;3404453,45%;90;VERDE;
0853914-26.2024.8.15.2001;João Pessoa;PB;Apartamento;46,30 m²;Rua Domingos José da Paixão, 1460, bairro Muçumagro, João Pessoa/PB, CEP: 58066-100;R$ 80.000,00;50%;09/06/2026;09/06/2026;R$ 40.000,00;R$ 1.200,00;R$ 2.000,00;R$ 2.000,00;R$ 2.000,00;R$ 47.200,00;3280000,00%;60;AMARELO;
0853914-26.2024.8.15.2001;João Pessoa;PB;Apartamento;46,30 m²;Rua Domingos José da Paixão, 1460, bairro Muçumagro, João Pessoa/PB, CEP: 58066-100;R$ 80.000,00;50%;09/06/2026;09/06/2026;R$ 40.000,00;R$ 1.200,00;R$ 2.000,00;R$ 2.000,00;R$ 2.000,00;R$ 47.200,00;3280000,00%;45;VERMELHO;
0000439-81.2023.8.16.0099;Jaguapitã;PR;Terreno;307,53 m²;Confrontando com Rua Acre e Av. São Paulo, Lote n° 5, quadra n° 31, Jaguapitã;R$ 80.000,00;50%;12/05/2026;19/05/2026;R$ 40.000,00;R$ 1.200,00;R$ 2.000,00;R$ 2.000,00;R$ 2.000,00;R$ 47.200,00;3280000,00%;95;VERDE;
5010323-76.2024.8.24.0039;Correia Pinto;SC;Terreno;528,00 m²;Avenida Luiz de Camões, nº 165, bairro São Pedro, Correia Pinto/SC.;R$ 80.000,00;60%;16/04/2026;12/05/2026;R$ 48.000,00;R$ 1.440,00;R$ 2.400,00;R$ 2.400,00;R$ 2.400,00;R$ 56.640,00;2336000,00%;40;VERMELHO;
0214500-05.1991.5.01.0017;Magé;RJ;Terreno;694,00 m²;Rua D. Virginia, Lote 57, Quadra 30, Loteamento Várzea Alegre;R$ 80.000,00;40%;25/05/2026;26/05/2026;R$ 32.000,00;R$ 960,00;R$ 1.600,00;R$ 1.600,00;R$ 1.600,00;R$ 37.760,00;4224000,00%;70;AMARELO;
5000430-73.2019.8.13.0611;São Francisco;MG;Terreno Rural;75.147,00 m²;fazenda Cabeceira da Vargem, distrito de Conceição da Vargem, São Francisco-MG;R$ 77.000,00;70%;08/05/2026;08/05/2026;R$ 53.900,00;R$ 1.617,00;R$ 2.695,00;R$ 2.695,00;R$ 2.695,00;R$ 63.602,00;1339800,00%;70;AMARELO;
