Processo;Cidade;Estado;Tipo;Metragem;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0157200-65.1997.5.02.0464;São Paulo;SP;Prédio e terreno;356,00 m²;Rua Marcelino Champagnat, nº 185, Jardim da Glória, São Paulo/SP;R$ 4.290.000,00;40%;04/08/2026;04/08/2026;R$ 1.716.000,00;R$ 51.480,00;R$ 85.800,00;R$ 85.800,00;R$ 85.800,00;R$ 2.024.880,00;226512000,00%;30;VERMELHO;
0001497-42.2012.5.01.0045;Cabo Frio;RJ;Apartamento;344,30 m²;Avenida do Contorno, nº 1200, Centro, Cabo Frio;R$ 4.128.000,00;50%;05/05/2026;12/05/2026;R$ 2.064.000,00;R$ 61.920,00;R$ 103.200,00;R$ 103.200,00;R$ 103.200,00;R$ 2.435.520,00;169248000,00%;65;AMARELO;
0621508-74.2014.8.04.0001;Novo Aripuanã;AM;Imóvel Rural (Fazenda);24.677,50 m²;FAZENDA AMAGO, Município de Novo Aripuanã, Estado do Amazonas;R$ 3.800.000,00;50%;12/05/2026;14/05/2026;R$ 1.900.000,00;R$ 57.000,00;R$ 95.000,00;R$ 95.000,00;R$ 95.000,00;R$ 2.242.000,00;155800000,00%;73;AMARELO;
5025852-51.2023.8.13.0145;JUIZ DE FORA;MG;Fundo de Comércio;0,00 m²;Avenida dos Andradas, n.º 415, na cidade de Juiz de Fora - MG;R$ 3.800.000,00;100%;05/05/2026;07/05/2026;R$ 3.800.000,00;R$ 114.000,00;R$ 190.000,00;R$ 190.000,00;R$ 190.000,00;R$ 4.484.000,00;-68400000,00%;60;AMARELO;
0026217-29.2023.8.26.0114;Campinas;SP;Terreno;2.213,40 m²;Rua Doutor Francisco Pompeu, n° 700, esquina com Rua Dr. Benedito de Paula Rodrigues, Parque São Bernardo, Campinas/SP;R$ 3.630.523,56;60%;19/06/2026;13/07/2026;R$ 2.178.314,14;R$ 65.349,42;R$ 108.915,71;R$ 108.915,71;R$ 108.915,71;R$ 2.570.410,68;106011287,95%;70;AMARELO;
0002555-16.2013.5.02.0434;São Bernardo do Campo;SP;Terreno com Benfeitorias;1.196,00 m²;Estrada Martim Afonso de Souza, nº 800/804, Rio Grande, São Bernardo do Campo/SP;R$ 3.530.000,00;40%;04/08/2026;04/08/2026;R$ 1.412.000,00;R$ 42.360,00;R$ 70.600,00;R$ 70.600,00;R$ 70.600,00;R$ 1.666.160,00;186384000,00%;30;VERMELHO;
0001900-10.2014.5.02.0434;São Bernardo do Campo;SP;Complexo de Edificações e Terrenos;1.196,00 m²;Estrada Martim Afonso de Souza, números 800/804, Rio Grande, São Bernardo do Campo/SP;R$ 3.530.000,00;40%;16/07/2026;16/07/2026;R$ 1.412.000,00;R$ 42.360,00;R$ 70.600,00;R$ 70.600,00;R$ 70.600,00;R$ 1.666.160,00;186384000,00%;30;VERMELHO;
0181600-97.1999.5.01.0013;Petrópolis;RJ;Casa;0,00 m²;Rua Alberto Augusto da Costa, nº 100, Condomínio Parque dos Eucaliptos, Sítio Sete Sinos, Itaipava, Petrópolis/RJ;R$ 3.200.000,00;50%;05/05/2026;12/05/2026;R$ 1.600.000,00;R$ 48.000,00;R$ 80.000,00;R$ 80.000,00;R$ 80.000,00;R$ 1.888.000,00;131200000,00%;50;VERMELHO;
0181600-97.1999.5.01.0013;Petrópolis;RJ;Casa com Terreno;13.448,56 m²;Rua Alberto Augusto Costa, nº 100, Condomínio Parque dos Eucaliptos, Sítio Sete Sinos, Itaipava, Petrópolis/RJ;R$ 3.200.000,00;50%;05/05/2026;12/05/2026;R$ 1.600.000,00;R$ 48.000,00;R$ 80.000,00;R$ 80.000,00;R$ 80.000,00;R$ 1.888.000,00;131200000,00%;40;VERMELHO;
0181600-97.1999.5.01.0013;Petrópolis;RJ;Casa;13.448,56 m²;Rua Alberto Augusto Costa, nº 100, Condomínio Parque dos Eucaliptos, Sítio Sete Sinos, Itaipava, Petrópolis/RJ;R$ 3.200.000,00;50%;05/05/2026;12/05/2026;R$ 1.600.000,00;R$ 48.000,00;R$ 80.000,00;R$ 80.000,00;R$ 80.000,00;R$ 1.888.000,00;131200000,00%;70;AMARELO;
