Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0036608-75.1998.8.13.0342;Prata;MG;Prédio Misto;Rua Presidente Antônio Carlos, n° 523, centro, Prata/MG;R$ 25.000,00;50%;26/03/2026;26/03/2026;R$ 12.500,00;R$ 375,00;R$ 625,00;R$ 625,00;R$ 625,00;R$ 14.750,00;R$ 10.250,00;69,49%;20;VERMELHO
0001390-12.2023.5.13.0034;CAMPINA GRANDE;PB;Bem Móvel (Refrigerador/Geladeira);RUA ANA ALMEIDA DE CASTRO, 401, SANTA ROSA, CAMPINA GRANDE-PB;R$ 25.000,00;40%;13/03/2026;31/12/2099;R$ 10.000,00;R$ 300,00;R$ 500,00;R$ 500,00;R$ 500,00;R$ 11.800,00;R$ 13.200,00;111,86%;90;VERDE
0000718-38.2015.5.10.0011;Brasília;DF;Imóvel;QR 210 CONJUNTO 14, LOTE Nº3, SAMAMBAIA NORTE, BRASILIA/DF;R$ 23.000,00;50%;26/03/2026;02/04/2026;R$ 11.500,00;R$ 345,00;R$ 575,00;R$ 575,00;R$ 575,00;R$ 13.570,00;R$ 9.430,00;69,49%;65;AMARELO
0000718-38.2015.5.10.0011;Brasília;DF;Casa;QR 210, Conjunto 14, Lote 3, Samambaia Norte, Samambaia, Brasília/DF, CEP 72316-20;R$ 23.000,00;50%;26/03/2026;02/04/2026;R$ 11.500,00;R$ 345,00;R$ 575,00;R$ 575,00;R$ 575,00;R$ 13.570,00;R$ 9.430,00;69,49%;75;AMARELO
0000718-38.2015.5.10.0011;Brasília;DF;Terreno;QR 210 CONJUNTO 14, LOTE Nº3, SAMAMBAIA NORTE (SAMAMBAIA), BRASILIA/DF - CEP: 72316-20;R$ 23.000,00;50%;26/03/2026;02/04/2026;R$ 11.500,00;R$ 345,00;R$ 575,00;R$ 575,00;R$ 575,00;R$ 13.570,00;R$ 9.430,00;69,49%;70;AMARELO
0000718-38.2015.5.10.0011;Brasília;DF;Lote;QR 210 CONJUNTO 14, LOTE Nº3, Samambaia Norte;R$ 23.000,00;50%;26/03/2026;02/04/2026;R$ 11.500,00;R$ 345,00;R$ 575,00;R$ 575,00;R$ 575,00;R$ 13.570,00;R$ 9.430,00;69,49%;90;VERDE
0000718-38.2015.5.10.0011;Brasília;DF;Lote;QR 210, Conjunto 14, Lote nº 3, Samambaia Norte, Brasília/DF, CEP: 72316-20;R$ 23.000,00;50%;26/03/2026;08/04/2026;R$ 11.500,00;R$ 345,00;R$ 575,00;R$ 575,00;R$ 575,00;R$ 13.570,00;R$ 9.430,00;69,49%;90;VERDE
0076022-04.2005.8.13.0191;Corinto;MG;Veículo;Rua Juvenal Guerra, 185, Manoel da Frota, Corinto/MG;R$ 18.000,00;50%;06/05/2026;29/07/2026;R$ 9.000,00;R$ 270,00;R$ 450,00;R$ 450,00;R$ 450,00;R$ 10.620,00;R$ 7.380,00;69,49%;35;VERMELHO
0001461-40.2024.8.16.0100;Jaguariaíva;PR;Motocicleta;Rua Édipo Ferreira dos Santos Ribas, 166, Ponta Grossa/PR;R$ 5.000,00;100%;12/05/2026;01/06/2026;R$ 5.000,00;R$ 150,00;R$ 250,00;R$ 250,00;R$ 250,00;R$ 5.900,00;-R$ 900,00;-15,25%;30;VERMELHO
0001146-27.2019.5.11.0019;Manaus;AM;Bens Móveis;Não se aplica;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;5;VERMELHO
0501211-82.2018.8.05.0126;Itapetinga;BA;Imóvel;Não informado no edital;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;5;VERMELHO
0501211-82.2018.8.05.0126;ITAPETINGA;BA;Imóvel;Não informado;R$ 0,00;50%;00/00/0000;00/00/0000;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0010793-84.2022.8.13.0035;Araguari;MG;Não se aplica;Não se aplica;R$ 0,00;50%;00/00/0000;00/00/0000;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;5;VERMELHO
0002530-87.2013.5.03.0106;BELO HORIZONTE;MG;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0011445-74.2014.5.03.0144;Pedro Leopoldo;MG;Residência;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0100900-23.2004.5.03.0040;Sete Lagoas;MG;Não especificado;Não informado;R$ 0,00;50%;01/04/2026;01/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0010750-74.2019.5.03.0135;Não informado;NI;Não informado neste edital;Não informado neste edital;R$ 0,00;50%;00/00/0000;00/00/0000;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0018250-60.2023.8.16.0194;Curitiba;PR;Imóvel;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;15;VERMELHO
0021763-19.2022.8.16.0017;Maringá;PR;N/A;N/A;R$ 0,00;50%;N/A;N/A;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0001134-98.2023.8.16.0175;Uraí;PR;Veículos;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0100660-93.2021.5.01.0072;Rio de Janeiro;RJ;Não informado;Não informado;R$ 0,00;50%;Não informado;Não informado;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;50;VERMELHO
0100735-86.2020.5.01.0034;Rio de Janeiro;RJ;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;10;VERMELHO
0100735-86.2020.5.01.0034;Rio de Janeiro;RJ;Não Informado;Não Informado;R$ 0,00;50%;Não Informado;Não Informado;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;25;VERMELHO
0100735-86.2020.5.01.0034;Rio de Janeiro;RJ;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0100735-86.2020.5.01.0034;Rio de Janeiro;RJ;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0100735-86.2020.5.01.0034;Rio de Janeiro;RJ;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0001518-95.2017.5.21.0009;Goianinha;RN;Imóvel;Não informado no edital;R$ 0,00;50%;23/04/2026;23/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;10;VERMELHO
0000707-62.2022.5.21.0009;Natal;RN;Não informado;Não informado;R$ 0,00;50%;23/04/2026;23/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0020080-74.2020.5.04.0251;Novo Hamburgo;RS;Fração de Imóvel;Não informado;R$ 0,00;60%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;30;VERMELHO
0000713-24.2016.5.20.0004;Aracaju;SE;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;5;VERMELHO
0005979-62.2016.8.26.0072;Bebedouro;SP;Motocicleta;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;10;VERMELHO
1501254-79.2019.8.26.0191;N/A;SP;N/A;N/A;R$ 0,00;50%;N/A;N/A;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0006386-87.2017.8.26.0604;Sumaré;SP;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;VERMELHO
0053700-37.2005.5.02.0032;São Paulo;SP;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;100;N/D
1001373-05.2017.5.02.0703;São Paulo;SP;Imóvel;Não informado;R$ 0,00;50%;Não informado;Não informado;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;40;VERMELHO
0154500-93.2006.5.02.0014;São Paulo;SP;N/D;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;20;VERMELHO
0154500-93.2006.5.02.0014;São Paulo;SP;Imóvel;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;5;VERMELHO
1000057-59.2019.5.02.0711;São Paulo;SP;Não informado;Não informado;R$ 0,00;50%;Não informado;Não informado;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;10;VERMELHO
1001138-17.2017.5.02.0710;São Paulo;SP;Imóvel;N/D;R$ 0,00;50%;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;10;VERMELHO
